ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	term	Ont
GO:1903510	GO:1903510	5/192	62/11754	0.003362743	0.537078094	0.537078094	EDNRA/FGF2/HPSE/NDNF/SLC10A7	5	mucopolysaccharide metabolic process	BP
GO:0072207	GO:0072207	3/192	20/11754	0.00398559	0.614605419	0.614605419	FAT4/FGF2/PKD2	3	metanephric epithelium development	BP
GO:0000288	GO:0000288	4/192	41/11754	0.004358488	0.637974814	0.637974814	CNOT6L/EXOSC9/HNRNPD/NOCT	4	"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"	BP
GO:0071900	GO:0071900	9/192	193/11754	0.004422455	0.637974814	0.637974814	CCNA2/CCNI/EPGN/FGF2/NPFFR2/PAQR3/PDE5A/PKD2/SPRY1	9	regulation of protein serine/threonine kinase activity	BP
GO:0001503	GO:0001503	10/192	241/11754	0.006236894	0.759687968	0.759687968	BMP2K/BMP3/FAT4/FGF2/IBSP/INTU/NOCT/REST/SMAD1/SPP1	10	ossification	BP
GO:0006790	GO:0006790	8/192	170/11754	0.006774846	0.759687968	0.759687968	EDNRA/ENOPH1/HPSE/NDNF/NDST3/SLC10A7/SLC7A11/SULT1E1	8	sulfur compound metabolic process	BP
GO:0031349	GO:0031349	9/192	207/11754	0.006932796	0.759687968	0.759687968	ALPK1/ANKRD17/EREG/IL8L2/MFHAS1/OTUD4/STAP1/TIFA/TNIP3	9	positive regulation of defense response	BP
GO:0043488	GO:0043488	6/192	105/11754	0.007432839	0.759687968	0.759687968	CNOT6L/EXOSC9/HNRNPD/METTL14/NOCT/YTHDC1	6	regulation of mRNA stability	BP
GO:0001657	GO:0001657	5/192	75/11754	0.007568914	0.759687968	0.759687968	FAT4/FGF2/PKD2/SMAD1/SPRY1	5	ureteric bud development	BP
GO:0030203	GO:0030203	5/192	75/11754	0.007568914	0.759687968	0.759687968	EDNRA/FGF2/HPSE/NDNF/SLC10A7	5	glycosaminoglycan metabolic process	BP
GO:0000175	GO:0000175	3/192	25/11754	0.00757442	0.759687968	0.759687968	CNOT6L/ERI1/NOCT	3	3'-5'-RNA exonuclease activity	MF
GO:0006749	GO:0006749	3/192	25/11754	0.00757442	0.759687968	0.759687968	GSR/MGST2/SLC7A11	3	glutathione metabolic process	BP
GO:0007169	GO:0007169	13/192	371/11754	0.007902773	0.759687968	0.759687968	ADAMTS3/AREG/EPGN/EPHA5/EREG/FAT4/FGF2/FGF5/GAB1/HHIP/LEPROTL1/SPRY1/STAP1	13	transmembrane receptor protein tyrosine kinase signaling pathway	BP
GO:0072163	GO:0072163	5/192	76/11754	0.007997138	0.759687968	0.759687968	FAT4/FGF2/PKD2/SMAD1/SPRY1	5	mesonephric epithelium development	BP
GO:0072164	GO:0072164	5/192	76/11754	0.007997138	0.759687968	0.759687968	FAT4/FGF2/PKD2/SMAD1/SPRY1	5	mesonephric tubule development	BP
GO:0006275	GO:0006275	5/192	77/11754	0.008441914	0.759687968	0.759687968	ANKRD17/CCNA2/EREG/JADE1/SMARCA5	5	regulation of DNA replication	BP
GO:2000273	GO:2000273	3/192	26/11754	0.008460856	0.759687968	0.759687968	AREG/EPGN/EREG	3	positive regulation of signaling receptor activity	BP
GO:0072073	GO:0072073	6/192	109/11754	0.008867851	0.759687968	0.759687968	EDNRA/FAT4/FGF2/PKD2/SMAD1/SPRY1	6	kidney epithelium development	BP
GO:0001823	GO:0001823	5/192	78/11754	0.008903548	0.759687968	0.759687968	FAT4/FGF2/PKD2/SMAD1/SPRY1	5	mesonephros development	BP
GO:1903313	GO:1903313	5/192	78/11754	0.008903548	0.759687968	0.759687968	CNOT6L/EXOSC9/HNRNPD/METTL14/NOCT	5	positive regulation of mRNA metabolic process	BP
GO:0006935	GO:0006935	9/192	218/11754	0.009577362	0.759687968	0.759687968	CXCL13/CXCL13L2/CXCL13L3/FGF2/GAB1/IL8L1/IL8L2/POU4F2/STAP1	9	chemotaxis	BP
GO:0006022	GO:0006022	5/192	80/11754	0.009878594	0.759687968	0.759687968	EDNRA/FGF2/HPSE/NDNF/SLC10A7	5	aminoglycan metabolic process	BP
GO:1903311	GO:1903311	8/192	182/11754	0.010033264	0.759687968	0.759687968	CNOT6L/EXOSC9/HNRNPD/LARP7/METTL14/NOCT/REST/YTHDC1	8	regulation of mRNA metabolic process	BP
GO:0042330	GO:0042330	9/192	220/11754	0.010130536	0.759687968	0.759687968	CXCL13/CXCL13L2/CXCL13L3/FGF2/GAB1/IL8L1/IL8L2/POU4F2/STAP1	9	taxis	BP
GO:0019184	GO:0019184	2/192	10/11754	0.010958085	0.759687968	0.759687968	MGST2/SLC7A11	2	nonribosomal peptide biosynthetic process	BP
GO:0043138	GO:0043138	2/192	10/11754	0.010958085	0.759687968	0.759687968	HELQ/WRN	2	3'-5' DNA helicase activity	MF
GO:0061042	GO:0061042	2/192	10/11754	0.010958085	0.759687968	0.759687968	HPSE/NDNF	2	vascular wound healing	BP
GO:0002221	GO:0002221	6/192	115/11754	0.011377583	0.759687968	0.759687968	ALPK1/ANKRD17/MFHAS1/OTUD4/TIFA/TNIP3	6	pattern recognition receptor signaling pathway	BP
GO:0043487	GO:0043487	6/192	115/11754	0.011377583	0.759687968	0.759687968	CNOT6L/EXOSC9/HNRNPD/METTL14/NOCT/YTHDC1	6	regulation of RNA stability	BP
GO:0048754	GO:0048754	6/192	115/11754	0.011377583	0.759687968	0.759687968	EDNRA/FAT4/FGF2/HHIP/PKD2/SPRY1	6	branching morphogenesis of an epithelial tube	BP
GO:0016896	GO:0016896	3/192	29/11754	0.01147343	0.759687968	0.759687968	CNOT6L/ERI1/NOCT	3	"RNA exonuclease activity, producing 5'-phosphomonoesters"	MF
GO:0061098	GO:0061098	3/192	29/11754	0.01147343	0.759687968	0.759687968	AREG/EPGN/EREG	3	positive regulation of protein tyrosine kinase activity	BP
GO:0002758	GO:0002758	6/192	116/11754	0.011840002	0.759687968	0.759687968	ALPK1/ANKRD17/MFHAS1/OTUD4/TIFA/TNIP3	6	innate immune response-activating signaling pathway	BP
GO:0061013	GO:0061013	6/192	116/11754	0.011840002	0.759687968	0.759687968	CNOT6L/EXOSC9/HNRNPD/METTL14/NOCT/YTHDC1	6	regulation of mRNA catabolic process	BP
GO:0004527	GO:0004527	4/192	55/11754	0.012305197	0.759687968	0.759687968	CNOT6L/ERI1/NOCT/WRN	4	exonuclease activity	MF
GO:0002831	GO:0002831	9/192	228/11754	0.012587161	0.759687968	0.759687968	ALPK1/ANKRD17/ELMOD2/EREG/IL15/MFHAS1/OTUD4/TIFA/TNIP3	9	regulation of response to biotic stimulus	BP
GO:0004532	GO:0004532	3/192	30/11754	0.012597583	0.759687968	0.759687968	CNOT6L/ERI1/NOCT	3	RNA exonuclease activity	MF
GO:0016791	GO:0016791	8/192	191/11754	0.013152885	0.759687968	0.759687968	DUSP4/ENOPH1/INPP4B/NOCT/PPEF2/PPM1K/PPP2CB/PTPN13	8	phosphatase activity	MF
GO:0008083	GO:0008083	5/192	86/11754	0.0132388	0.759687968	0.759687968	BMP3/EPGN/FGF2/FGF5/IL8L2	5	growth factor activity	MF
GO:0000272	GO:0000272	2/192	11/11754	0.013250372	0.759687968	0.759687968	PPP1R3B/STBD1	2	polysaccharide catabolic process	BP
GO:0005980	GO:0005980	2/192	11/11754	0.013250372	0.759687968	0.759687968	PPP1R3B/STBD1	2	glycogen catabolic process	BP
GO:0007263	GO:0007263	2/192	11/11754	0.013250372	0.759687968	0.759687968	NDNF/PDE5A	2	nitric oxide mediated signal transduction	BP
GO:0009251	GO:0009251	2/192	11/11754	0.013250372	0.759687968	0.759687968	PPP1R3B/STBD1	2	glucan catabolic process	BP
GO:0010613	GO:0010613	2/192	11/11754	0.013250372	0.759687968	0.759687968	PDE5A/TRPC3	2	positive regulation of cardiac muscle hypertrophy	BP
GO:0030127	GO:0030127	2/192	11/11754	0.013250372	0.759687968	0.759687968	SEC24D/SEC31A	2	COPII vesicle coat	CC
GO:0090110	GO:0090110	2/192	11/11754	0.013250372	0.759687968	0.759687968	SEC24D/SEC31A	2	COPII-coated vesicle cargo loading	BP
GO:0140694	GO:0140694	9/192	233/11754	0.014333097	0.799425351	0.799425351	CDS1/CENPC/CETN1/CNOT6L/G3BP2/MYOZ2/NOA1/NOCT/PLK4	9	non-membrane-bounded organelle assembly	BP
GO:0032103	GO:0032103	10/192	275/11754	0.014903668	0.799425351	0.799425351	ALPK1/ANKRD17/EREG/FGF2/IL8L2/MFHAS1/OTUD4/STAP1/TIFA/TNIP3	10	positive regulation of response to external stimulus	BP
GO:0001960	GO:0001960	3/192	32/11754	0.015028952	0.799425351	0.799425351	OTUD4/PPP2CB/STAP1	3	negative regulation of cytokine-mediated signaling pathway	BP
GO:0051148	GO:0051148	3/192	32/11754	0.015028952	0.799425351	0.799425351	ANKRD17/EREG/SMAD1	3	negative regulation of muscle cell differentiation	BP
GO:0045089	GO:0045089	7/192	159/11754	0.015498527	0.799425351	0.799425351	ALPK1/ANKRD17/EREG/MFHAS1/OTUD4/TIFA/TNIP3	7	positive regulation of innate immune response	BP
GO:0014742	GO:0014742	2/192	12/11754	0.015731089	0.799425351	0.799425351	PDE5A/TRPC3	2	positive regulation of muscle hypertrophy	BP
GO:0030247	GO:0030247	2/192	12/11754	0.015731089	0.799425351	0.799425351	PPP1R3B/STBD1	2	polysaccharide binding	MF
GO:0060055	GO:0060055	2/192	12/11754	0.015731089	0.799425351	0.799425351	HPSE/NDNF	2	angiogenesis involved in wound healing	BP
GO:1904355	GO:1904355	2/192	12/11754	0.015731089	0.799425351	0.799425351	HNRNPD/TNKS	2	positive regulation of telomere capping	BP
GO:0016607	GO:0016607	9/192	238/11754	0.016252295	0.811764518	0.811764518	BMP2K/COPS4/GTF2E2/IL15/JADE1/MAML3/POU4F2/WRN/YTHDC1	9	nuclear speck	CC
GO:0060761	GO:0060761	3/192	33/11754	0.016336942	0.811764518	0.811764518	OTUD4/PPP2CB/STAP1	3	negative regulation of response to cytokine stimulus	BP
GO:0035850	GO:0035850	3/192	34/11754	0.017706867	0.839345865	0.839345865	EDNRA/FAT4/FGF2	3	epithelial cell differentiation involved in kidney development	BP
GO:0004535	GO:0004535	2/192	13/11754	0.018393536	0.839345865	0.839345865	CNOT6L/NOCT	2	poly(A)-specific ribonuclease activity	MF
GO:0035459	GO:0035459	2/192	13/11754	0.018393536	0.839345865	0.839345865	SEC24D/SEC31A	2	vesicle cargo loading	BP
GO:0038128	GO:0038128	2/192	13/11754	0.018393536	0.839345865	0.839345865	AREG/EREG	2	ERBB2 signaling pathway	BP
GO:0051151	GO:0051151	2/192	13/11754	0.018393536	0.839345865	0.839345865	ANKRD17/EREG	2	negative regulation of smooth muscle cell differentiation	BP
GO:0002218	GO:0002218	6/192	129/11754	0.01910848	0.856927543	0.856927543	ALPK1/ANKRD17/MFHAS1/OTUD4/TIFA/TNIP3	6	activation of innate immune response	BP
GO:0098542	GO:0098542	13/192	417/11754	0.01935236	0.856927543	0.856927543	ALPK1/ANKRD17/CXCL13/ELMOD2/EREG/IL15/IL8L2/JCHAIN/MFHAS1/OTUD4/PLACL2/TIFA/TNIP3	13	defense response to other organism	BP
GO:0016796	GO:0016796	3/192	36/11754	0.02063331	0.856927543	0.856927543	CNOT6L/ERI1/NOCT	3	"exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters"	MF
GO:0043470	GO:0043470	3/192	36/11754	0.02063331	0.856927543	0.856927543	PPP1R3B/SCARB2/SLC4A4	3	regulation of carbohydrate catabolic process	BP
GO:0034655	GO:0034655	9/192	248/11754	0.020647326	0.856927543	0.856927543	CNOT6L/EXOSC9/GRSF1/HNRNPD/METTL14/NOCT/NUDT9/PDE5A/YTHDC1	9	nucleobase-containing compound catabolic process	BP
GO:0002269	GO:0002269	2/192	14/11754	0.021231178	0.856927543	0.856927543	IL8L2/STAP1	2	leukocyte activation involved in inflammatory response	BP
GO:0034483	GO:0034483	2/192	14/11754	0.021231178	0.856927543	0.856927543	NDST3/NDST4	2	heparan sulfate sulfotransferase activity	MF
GO:0072234	GO:0072234	2/192	14/11754	0.021231178	0.856927543	0.856927543	FAT4/PKD2	2	metanephric nephron tubule development	BP
GO:1903672	GO:1903672	2/192	14/11754	0.021231178	0.856927543	0.856927543	FGF2/SMAD1	2	positive regulation of sprouting angiogenesis	BP
GO:0002833	GO:0002833	7/192	170/11754	0.021542077	0.856927543	0.856927543	ALPK1/ANKRD17/EREG/MFHAS1/OTUD4/TIFA/TNIP3	7	positive regulation of response to biotic stimulus	BP
GO:0042273	GO:0042273	3/192	37/11754	0.022190063	0.856927543	0.856927543	RPL7L1/SDAD1/SPATA5	3	ribosomal large subunit biogenesis	BP
GO:0016788	GO:0016788	14/192	473/11754	0.023128455	0.856927543	0.856927543	ARSJ/CNOT6L/DUSP4/ENOPH1/ERI1/INPP4B/NDST3/NOCT/PDE5A/PPEF2/PPM1K/PPP2CB/PTPN13/WRN	14	"hydrolase activity, acting on ester bonds"	MF
GO:0042578	GO:0042578	9/192	254/11754	0.023664576	0.856927543	0.856927543	DUSP4/ENOPH1/INPP4B/NOCT/PDE5A/PPEF2/PPM1K/PPP2CB/PTPN13	9	phosphoric ester hydrolase activity	MF
GO:0098687	GO:0098687	8/192	213/11754	0.023689708	0.856927543	0.856927543	CENPC/MAD2L1/POLR2B/SMARCA5/TNKS/WRN/ZNF330/ZNF827	8	chromosomal region	CC
GO:0001656	GO:0001656	4/192	67/11754	0.023801493	0.856927543	0.856927543	FAT4/FGF2/PKD2/SPRY1	4	metanephros development	BP
GO:0042119	GO:0042119	2/192	15/11754	0.024237644	0.856927543	0.856927543	IL15/IL8L2	2	neutrophil activation	BP
GO:0051131	GO:0051131	2/192	15/11754	0.024237644	0.856927543	0.856927543	BBS12/HOPX	2	chaperone-mediated protein complex assembly	BP
GO:0061318	GO:0061318	2/192	15/11754	0.024237644	0.856927543	0.856927543	EDNRA/FGF2	2	renal filtration cell differentiation	BP
GO:0072112	GO:0072112	2/192	15/11754	0.024237644	0.856927543	0.856927543	EDNRA/FGF2	2	podocyte differentiation	BP
GO:0051338	GO:0051338	14/192	476/11754	0.024253552	0.856927543	0.856927543	AREG/CCNA2/CCNI/EPGN/EREG/FGF2/HNRNPD/MAD2L1/NPFFR2/PAQR3/PDE5A/PKD2/SPRY1/TNKS	14	regulation of transferase activity	BP
GO:0019887	GO:0019887	6/192	137/11754	0.024843274	0.856927543	0.856927543	AREG/CCNA2/CCNI/EPGN/EREG/STAP1	6	protein kinase regulator activity	MF
GO:0061138	GO:0061138	6/192	138/11754	0.025632659	0.856927543	0.856927543	EDNRA/FAT4/FGF2/HHIP/PKD2/SPRY1	6	morphogenesis of a branching epithelium	BP
GO:0071897	GO:0071897	5/192	102/11754	0.02575067	0.856927543	0.856927543	FGF2/HNRNPD/JADE1/TNKS/WRN	5	DNA biosynthetic process	BP
GO:0045859	GO:0045859	11/192	345/11754	0.026212702	0.856927543	0.856927543	AREG/CCNA2/CCNI/EPGN/EREG/FGF2/NPFFR2/PAQR3/PDE5A/PKD2/SPRY1	11	regulation of protein kinase activity	BP
GO:0060322	GO:0060322	13/192	437/11754	0.027109006	0.856927543	0.856927543	BBS7/EDNRA/FAT4/FGF2/METTL14/NDNF/PCDH18/PRDM8/SLC7A11/SMAD1/SPATA5/UBA6/UTP3	13	head development	BP
GO:0031347	GO:0031347	11/192	347/11754	0.02719397	0.856927543	0.856927543	ALPK1/ANKRD17/ELMOD2/EREG/IL15/IL8L2/MFHAS1/OTUD4/STAP1/TIFA/TNIP3	11	regulation of defense response	BP
GO:0009154	GO:0009154	2/192	16/11754	0.02740672	0.856927543	0.856927543	NUDT9/PDE5A	2	purine ribonucleotide catabolic process	BP
GO:0012507	GO:0012507	2/192	16/11754	0.02740672	0.856927543	0.856927543	SEC24D/SEC31A	2	ER to Golgi transport vesicle membrane	CC
GO:0072170	GO:0072170	2/192	16/11754	0.02740672	0.856927543	0.856927543	FAT4/PKD2	2	metanephric tubule development	BP
GO:0072311	GO:0072311	2/192	16/11754	0.02740672	0.856927543	0.856927543	EDNRA/FGF2	2	glomerular epithelial cell differentiation	BP
GO:2001259	GO:2001259	2/192	16/11754	0.02740672	0.856927543	0.856927543	EDNRA/PKD2	2	positive regulation of cation channel activity	BP
GO:0043500	GO:0043500	3/192	41/11754	0.02904063	0.856927543	0.856927543	MYOZ2/PDE5A/TRPC3	3	muscle adaptation	BP
GO:2000736	GO:2000736	3/192	41/11754	0.02904063	0.856927543	0.856927543	BBS12/FGF2/REST	3	regulation of stem cell differentiation	BP
GO:0042254	GO:0042254	7/192	181/11754	0.029057543	0.856927543	0.856927543	ABCE1/EXOSC9/NOA1/RPL7L1/SDAD1/SPATA5/UTP3	7	ribosome biogenesis	BP
GO:0044270	GO:0044270	9/192	265/11754	0.029993698	0.856927543	0.856927543	CNOT6L/EXOSC9/GRSF1/HNRNPD/METTL14/NOCT/NUDT9/PDE5A/YTHDC1	9	cellular nitrogen compound catabolic process	BP
GO:0046700	GO:0046700	9/192	265/11754	0.029993698	0.856927543	0.856927543	CNOT6L/EXOSC9/GRSF1/HNRNPD/METTL14/NOCT/NUDT9/PDE5A/YTHDC1	9	heterocycle catabolic process	BP
GO:2000278	GO:2000278	4/192	72/11754	0.030020467	0.856927543	0.856927543	FGF2/HNRNPD/JADE1/TNKS	4	regulation of DNA biosynthetic process	BP
GO:0001664	GO:0001664	6/192	144/11754	0.030720967	0.856927543	0.856927543	CXCL13/CXCL13L2/CXCL13L3/IL8L1/IL8L2/NPFFR2	6	G protein-coupled receptor binding	MF
GO:0003094	GO:0003094	2/192	17/11754	0.030732351	0.856927543	0.856927543	EDNRA/JCHAIN	2	glomerular filtration	BP
GO:0033962	GO:0033962	2/192	17/11754	0.030732351	0.856927543	0.856927543	CNOT6L/NOCT	2	P-body assembly	BP
GO:0034067	GO:0034067	2/192	17/11754	0.030732351	0.856927543	0.856927543	PAQR3/RAB33B	2	protein localization to Golgi apparatus	BP
GO:0036230	GO:0036230	2/192	17/11754	0.030732351	0.856927543	0.856927543	IL15/IL8L2	2	granulocyte activation	BP
GO:0048246	GO:0048246	2/192	17/11754	0.030732351	0.856927543	0.856927543	IL8L2/STAP1	2	macrophage chemotaxis	BP
GO:1904353	GO:1904353	2/192	17/11754	0.030732351	0.856927543	0.856927543	HNRNPD/TNKS	2	regulation of telomere capping	BP
GO:0043405	GO:0043405	5/192	107/11754	0.030820464	0.856927543	0.856927543	EPGN/FGF2/PAQR3/PDE5A/SPRY1	5	regulation of MAP kinase activity	BP
GO:0061005	GO:0061005	3/192	42/11754	0.03090862	0.856927543	0.856927543	EDNRA/FAT4/FGF2	3	cell differentiation involved in kidney development	BP
GO:0007420	GO:0007420	12/192	403/11754	0.032830732	0.856927543	0.856927543	BBS7/FAT4/FGF2/METTL14/NDNF/PCDH18/PRDM8/SLC7A11/SMAD1/SPATA5/UBA6/UTP3	12	brain development	BP
GO:0006401	GO:0006401	7/192	187/11754	0.033825505	0.856927543	0.856927543	CNOT6L/EXOSC9/GRSF1/HNRNPD/METTL14/NOCT/YTHDC1	7	RNA catabolic process	BP
GO:0005104	GO:0005104	2/192	18/11754	0.034208633	0.856927543	0.856927543	FGF2/FGF5	2	fibroblast growth factor receptor binding	MF
GO:0010611	GO:0010611	2/192	18/11754	0.034208633	0.856927543	0.856927543	PDE5A/TRPC3	2	regulation of cardiac muscle hypertrophy	BP
GO:0061437	GO:0061437	2/192	18/11754	0.034208633	0.856927543	0.856927543	EDNRA/PKD2	2	renal system vasculature development	BP
GO:0061440	GO:0061440	2/192	18/11754	0.034208633	0.856927543	0.856927543	EDNRA/PKD2	2	kidney vasculature development	BP
GO:0072010	GO:0072010	2/192	18/11754	0.034208633	0.856927543	0.856927543	EDNRA/FGF2	2	glomerular epithelium development	BP
GO:0072202	GO:0072202	2/192	18/11754	0.034208633	0.856927543	0.856927543	FAT4/FGF2	2	cell differentiation involved in metanephros development	BP
GO:2000737	GO:2000737	2/192	18/11754	0.034208633	0.856927543	0.856927543	BBS12/REST	2	negative regulation of stem cell differentiation	BP
GO:0019439	GO:0019439	9/192	272/11754	0.034590123	0.856927543	0.856927543	CNOT6L/EXOSC9/GRSF1/HNRNPD/METTL14/NOCT/NUDT9/PDE5A/YTHDC1	9	aromatic compound catabolic process	BP
GO:0017148	GO:0017148	5/192	111/11754	0.035298243	0.856927543	0.856927543	CNOT6L/EXOSC9/HNRNPD/METTL14/NOCT	5	negative regulation of translation	BP
GO:0071222	GO:0071222	4/192	76/11754	0.035625287	0.856927543	0.856927543	CXCL13/IL8L2/STAP1/TNIP3	4	cellular response to lipopolysaccharide	BP
GO:0045088	GO:0045088	7/192	190/11754	0.036394353	0.856927543	0.856927543	ALPK1/ANKRD17/EREG/MFHAS1/OTUD4/TIFA/TNIP3	7	regulation of innate immune response	BP
GO:0001763	GO:0001763	6/192	150/11754	0.036430039	0.856927543	0.856927543	EDNRA/FAT4/FGF2/HHIP/PKD2/SPRY1	6	morphogenesis of a branching structure	BP
GO:0000079	GO:0000079	3/192	45/11754	0.036881928	0.856927543	0.856927543	CCNA2/CCNI/PKD2	3	regulation of cyclin-dependent protein serine/threonine kinase activity	BP
GO:0038024	GO:0038024	3/192	45/11754	0.036881928	0.856927543	0.856927543	PRSS12/SCARB2/STBD1	3	cargo receptor activity	MF
GO:0071219	GO:0071219	4/192	77/11754	0.037114787	0.856927543	0.856927543	CXCL13/IL8L2/STAP1/TNIP3	4	cellular response to molecule of bacterial origin	BP
GO:0032496	GO:0032496	5/192	113/11754	0.037680321	0.856927543	0.856927543	CXCL13/IL8L2/NOCT/STAP1/TNIP3	5	response to lipopolysaccharide	BP
GO:0000096	GO:0000096	2/192	19/11754	0.037829813	0.856927543	0.856927543	ENOPH1/SLC7A11	2	sulfur amino acid metabolic process	BP
GO:0001759	GO:0001759	2/192	19/11754	0.037829813	0.856927543	0.856927543	FGF2/SPRY1	2	organ induction	BP
GO:0031210	GO:0031210	2/192	19/11754	0.037829813	0.856927543	0.856927543	JCHAIN/SCARB2	2	phosphatidylcholine binding	MF
GO:0072344	GO:0072344	2/192	19/11754	0.037829813	0.856927543	0.856927543	ABCE1/RCHY1	2	rescue of stalled ribosome	BP
GO:0097205	GO:0097205	2/192	19/11754	0.037829813	0.856927543	0.856927543	EDNRA/JCHAIN	2	renal filtration	BP
GO:0019221	GO:0019221	7/192	192/11754	0.038176797	0.856927543	0.856927543	CXCL13/EREG/IL15/IL8L2/OTUD4/PPP2CB/STAP1	7	cytokine-mediated signaling pathway	BP
